证券代码,证券简称,"经营活动产生的现金流量净额/流动负债
[报告期] 2017一季","经营活动产生的现金流量净额/流动负债
[报告期] 2017中报","经营活动产生的现金流量净额/流动负债
[报告期] 2017三季","经营活动产生的现金流量净额/流动负债
[报告期] 2017年报","经营活动产生的现金流量净额/流动负债
[报告期] 2018一季","经营活动产生的现金流量净额/流动负债
[报告期] 2018中报","资产负债率
[报告期] 2017一季
[单位] %","资产负债率
[报告期] 2017中报
[单位] %","资产负债率
[报告期] 2017三季
[单位] %","资产负债率
[报告期] 2017年报
[单位] %","资产负债率
[报告期] 2018一季
[单位] %","资产负债率
[报告期] 2018中报
[单位] %","债项评级
[交易日期] 2018-09-14
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-06-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2018-03-30
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-12-29
[评级机构] 全部评级机构","债项评级
[交易日期] 2017-09-29
[评级机构] 全部评级机构","估价收益率(上清所)
[日期] 2018-09-14","估价收益率(上清所)
[日期] 2018-06-29","估价收益率(上清所)
[日期] 2018-03-30","估价收益率(上清所)
[日期] 2017-12-29","估价收益率(上清所)
[日期] 2017-09-29","估价修正久期(上清所)
[日期] 2018-09-14","估价修正久期(上清所)
[日期] 2018-06-29","估价修正久期(上清所)
[日期] 2018-03-30","估价修正久期(上清所)
[日期] 2017-12-29","估价修正久期(上清所)
[日期] 2017-09-29"
122302.SH,13天房债,-0.1068,0.0412,0.0616,0.1025,0.0075,0.0463,84.9114,85.0728,85.4262,85.5395,84.8469,83.983,AA+,AA+,AA+,AA+,AA+,13.2699,13.484,7.3141,7.3079,6.8401,0.4793,0.6609,0.9447,1.1766,1.4224
122305.SH,14鲁高速,0.0722,0.2204,0.522,0.5542,0.0678,0.2207,43.5596,44.5871,39.0592,46.7545,46.6274,46.5191,AAA,AAA,AAA,AAA,AAA,3.7184,4.671,4.9464,5.36,4.7136,0.7975,0.932,1.167,1.3988,1.6459
122306.SH,13太极01,-0.0274,-0.0504,-0.001,0.1065,-0.0668,-0.0069,60.0178,58.2253,58.5633,56.7309,63.4845,62.6004,AA+,AA+,AA+,AA+,AA+,5.2067,6.1776,6.1957,6.6523,6.0131,0.7072,0.8931,1.0669,1.2959,1.5392
122308.SH,13杭齿债,-0.0547,-0.0113,0.0331,0.1166,-0.0338,0.0117,54.2157,55.3771,54.8528,54.1837,54.311,54.3287,AAA,AAA,AA+,AA+,AA+,5.6871,6.6354,6.6361,7.0678,6.4199,0.7852,0.9103,1.1441,1.3721,1.6151
122316.SH,14赣粤01,0.2176,0.3249,0.4223,0.4145,0.0026,0.1247,50.9821,51.5154,51.2479,52.9835,51.6498,52.3105,AAA,AAA,AAA,AAA,AAA,4.8735,5.1074,5.1285,5.2375,4.8515,0.8767,1.02,1.2565,1.4902,1.7399
122317.SH,14赣粤02,0.2176,0.3249,0.4223,0.4145,0.0026,0.1247,50.9821,51.5154,51.2479,52.9835,51.6498,52.3105,AAA,AAA,AAA,AAA,AAA,4.7923,5.1134,5.2898,5.5162,4.8668,4.8999,4.8064,5.0294,5.2475,5.539
122318.SH,14中炬01,0.2097,0.319,0.5579,0.7163,0.2071,0.3937,35.6229,37.8781,35.6016,34.9612,33.2025,34.8937,AA,AA,AA,AA,AA,3.778,4.601,4.5997,4.9849,4.3216,0.9297,1.1236,1.362,1.5943,1.8437
122320.SH,14国贸01,0.1447,0.2378,0.4726,0.4908,0.2094,0.3434,45.5434,46.4924,45.7128,44.5426,41.0549,41.2107,AAA,AAA,AAA,AAA,AAA,4.7168,5.6533,5.9063,6.2945,5.641,0.8923,1.0293,1.2622,1.4919,1.7375
122323.SH,14凤凰债,-0.062,-0.015,0.039,0.1022,-0.0894,0.0121,62.1585,64.5852,62.6627,59.1951,56.4268,50.0675,AAA,AAA,AAA,AAA,AAA,4.4112,5.2501,5.2475,5.6386,4.9768,0.9527,1.0921,1.329,1.5599,1.8076
122327.SH,13卧龙债,0.049,0.2873,0.3462,0.4682,0.0419,0.0452,59.4211,62.1932,64.6228,64.5625,61.2413,63.7203,AA,AA,AA,AA,AA,8.9508,8.2803,7.8454,7.6914,7.1882,0.021,0.2213,0.4568,0.6902,0.93
122328.SH,12开滦02,0.0144,0.0674,0.1643,0.2513,0.1217,0.1875,52.8274,52.5039,53.3224,50.7099,50.6605,49.7375,AAA,AAA,AAA,AAA,AAA,5.8551,5.9224,5.8107,6.2623,5.8262,0.9014,1.0967,1.3361,1.5568,1.8087
122329.SH,14伊泰01,0.2114,0.3023,0.4461,0.4475,0.0314,0.1652,58.9482,57.4694,59.7899,55.6648,54.7227,56.0459,AAA,AAA,AA+,AA+,AA+,5.3928,5.5159,5.2327,5.5225,4.9201,0.9501,1.1489,1.389,1.6213,1.7522
122330.SH,13中企债,0.065,0.1537,0.219,0.3343,-0.0024,0.0232,83.6331,81.8341,82.5506,81.6817,81.1247,77.4065,AAA,AAA,AA+,AA+,AA+,5.9639,6.0849,5.7992,6.0877,5.4351,0.9695,1.1672,1.4062,1.6372,0.037
122331.SH,14营口港,0.1967,0.4591,0.7423,0.711,0.1871,0.3122,32.0944,31.7426,30.3998,30.6626,27.2895,26.5391,AA+,AA+,AA+,AA+,AA+,6.8345,7.0102,5.2588,5.4193,5.0513,0.9559,1.1486,1.4338,1.6654,1.8177
122332.SH,14亿利01,0.1468,0.2515,0.2998,0.1764,0.0417,0.1621,46.4953,45.2276,45.2883,46.0278,45.3487,46.3531,AA+,AA+,AA+,AA+,AA+,11.241,9.4602,6.8389,6.9222,6.5259,1.1648,1.3774,1.6459,0.0697,0.3103
122333.SH,14嘉宝债,-0.0844,-0.0402,0.0253,0.2101,0.028,0.1564,53.7623,52.8873,55.9797,54.9133,62.3389,63.3995,AA+,AA+,AA,AA,AA,4.852,5.6289,5.6304,6.0022,5.3658,1.0036,1.1956,1.4316,1.6616,0.9392
122334.SH,12大唐02,0.0716,0.1342,0.2598,0.2894,0.0805,0.0977,74.4628,74.2823,74.1553,74.5688,70.5366,76.8496,AAA,AAA,AAA,AAA,AAA,4.6117,4.8309,5.1734,5.4513,4.8208,4.9917,5.1761,5.3862,5.6002,5.6169
122335.SH,14爱众01,0.0338,0.1013,0.2572,0.5206,0.0082,0.0989,56.3532,56.3123,53.5084,51.8554,52.0021,51.9907,AA,AA,AA,AA,AA,5.4044,5.6644,5.6314,5.7897,5.4148,1.0168,1.2095,1.4464,1.6773,1.823
122336.SH,13牡丹01,-0.0442,0.0478,0.2072,0.1189,0.0123,0.1139,57.8827,60.3948,61.4835,63.0048,63.2613,65.9245,AA+,AA+,AA,AA,AA,4.8087,5.7049,5.6955,6.0815,5.2938,1.0205,1.211,1.447,1.6766,0.0773
122337.SH,13魏桥02,,0.2127,,0.3346,,0.1156,,41.4166,,37.0852,,36.469,AA,AA,AA,AA,AA,5.8679,5.9704,5.6782,5.9638,5.8252,1.0323,1.2304,1.4698,1.701,0.0931
122338.SH,13金桥债,-0.0019,-0.0118,0.0509,-0.0147,-0.1001,-0.0899,49.6657,50.9373,50.5278,55.2082,55.5224,57.2324,AAA,AAA,AAA,AAA,AAA,4.6486,4.9886,5.1348,5.3333,4.9385,1.7187,1.9012,2.1277,1.7336,3.0938
122339.SH,13香江债,0.0408,0.0667,0.0536,0.0652,-0.0151,-0.193,57.269,55.8378,57.1804,56.0031,73.061,75.1699,AA,AA,AA,AA,AA,7.5007,7.5785,7.2809,7.5685,6.9519,1.0773,1.2726,1.5087,1.7362,1.8422
122340.SH,14武控01,0.0194,0.0417,0.0721,0.0519,0.0082,0.0228,45.0602,46.2646,48.3015,52.0335,55.0714,56.3455,AA+,AA+,AA+,AA+,AA+,4.0989,4.9203,5.0564,5.4366,4.6672,1.0499,1.2424,1.4781,1.709,0.0948
122341.SH,14连云港,-0.0189,0.0155,0.005,0.0263,-0.0049,0.04,53.8885,56.438,54.2324,55.5907,55.4345,53.9791,AA,AA,AA,AA,AA,5.3612,5.979,5.9971,4.8317,4.7989,1.3778,1.5685,1.8034,0.2109,0.4494
122343.SH,13和邦02,-0.1583,-0.2832,-0.1573,0.1342,0.0081,0.3498,15.6676,15.6428,15.6135,13.9896,13.7455,13.1296,AA,AA,AA,AA,AA,6.8191,6.9076,6.153,6.5146,6.2402,1.0617,1.2582,1.5023,1.7311,0.147
122344.SH,13尖峰02,0.0004,0.1208,0.2358,0.4356,0.0131,0.2486,35.0039,36.5184,35.3197,32.3646,32.6255,29.7301,AA+,AA+,AA+,AA+,AA+,4.3508,5.0862,5.0899,5.4523,4.9364,1.0855,1.2783,1.5155,1.7466,0.1357
122346.SH,14贵人鸟,0.0121,0.1139,0.0822,0.1813,0.0765,0.1581,58.6817,62.3606,65.1383,65.359,64.7426,65.9631,AA,AA,AA,AA,AA,7.6683,7.751,7.4539,6.6467,6.0336,1.0687,1.2636,1.4993,1.7448,1.8771
122347.SH,13太极02,-0.0274,-0.0504,-0.001,0.1065,-0.0668,-0.0069,60.0178,58.2253,58.5633,56.7309,63.4845,62.6004,AA+,AA+,AA+,AA+,AA+,4.2871,5.0047,5.0095,5.3687,5.1005,1.119,1.312,1.5493,1.7805,0.1693
122348.SH,14北辰01,0.0041,0.0269,0.0167,-0.0417,-0.0107,-0.0026,81.3455,82.8341,83.146,83.2933,82.4959,83.7627,AA+,AA+,AA+,AA+,AA+,4.3933,5.1283,5.3331,4.7835,4.7199,1.2406,1.4322,1.666,0.0552,1.1857
122349.SH,14中炬02,0.2097,0.319,0.5579,0.7163,0.2071,0.3937,35.6229,37.8781,35.6016,34.9612,33.2025,34.8937,AA,AA,AA,AA,AA,4.9274,5.5837,5.5944,5.9418,5.2699,1.2509,1.4426,1.6786,1.8117,2.0615
122350.SH,14盛屯债,0.0122,0.0356,0.074,0.2547,-0.4131,-0.0836,61.8866,61.2963,60.9556,58.3732,50.9603,52.4414,AA,AA,AA,AA,AA,7.7002,7.7211,7.4207,7.7414,7.6572,1.1216,1.3172,1.5531,1.7797,0.2221
122351.SH,14北辰02,0.0041,0.0269,0.0167,-0.0417,-0.0107,-0.0026,81.3455,82.8341,83.146,83.2933,82.4959,83.7627,AA+,AA+,AA+,AA+,AA+,4.6991,5.0962,5.2546,5.4598,4.9916,2.5118,1.8641,2.0937,2.0121,2.872
122352.SH,12广汽03,0.1558,0.1644,0.1668,0.4109,-0.0395,-0.1154,42.2169,43.4797,42.4895,41.1266,37.213,37.787,AAA,AAA,AAA,AAA,AAA,3.8892,4.6158,4.8466,5.2041,4.5451,1.252,1.4446,1.6791,1.8261,2.0773
122354.SH,15康美债,0.0593,0.0402,0.0604,0.072,0.0384,0.0154,48.2395,49.4427,52.3276,53.2392,53.4576,57.538,AAA,AAA,AAA,AA+,AA+,6.5017,5.256,5.3016,4.9846,4.4538,1.2168,1.8764,2.1099,2.6482,2.9147
122358.SH,15际华03,-0.168,-0.2626,-0.3018,-0.4155,-0.0396,-0.0084,45.6157,39.6558,38.6967,39.4308,39.9913,40.5825,AAA,AAA,AAA,AAA,AAA,4.0268,4.3834,4.5993,4.8457,4.4261,2.6577,2.2147,2.443,2.6709,2.9312
122361.SH,14福田债,-0.0483,-0.0398,-0.1004,-0.0687,-0.0584,-0.0683,67.0941,67.108,68.4053,69.4915,72.1493,71.9703,AA+,AA+,AA+,AA+,AA+,3.5679,4.2357,4.4634,4.7929,4.1431,1.4405,1.6334,1.7787,2.0104,2.2636
122362.SH,14上实01,-0.0037,-0.0142,-0.0746,0.0361,-0.0659,-0.176,71.0445,70.9154,71.0661,70.4665,70.6133,69.6576,AA+,AA+,AA+,AA+,AA+,4.9066,5.5223,5.5408,4.8678,4.8855,1.3959,1.5874,1.8233,0.2177,0.4551
122364.SH,14渝路01,0.3607,0.6528,0.7884,0.981,-0.0026,0.0012,48.2717,47.3969,47.0849,46.6077,47.2487,46.1552,AA,AA,AA,AA,AA,5.2811,5.901,5.9185,4.9534,4.9766,1.3695,1.5604,1.7955,0.1992,0.4362
122365.SH,14昊华01,0.099,0.1983,0.3038,0.4981,0.2135,0.4682,44.5548,44.3498,42.7489,42.3358,41.5773,41.0431,AA+,AA+,AA+,AA+,AA+,5.3502,5.6406,5.6603,5.8587,5.4863,1.4014,1.5925,1.8278,1.9598,2.2102
122368.SH,14渝路02,0.3607,0.6528,0.7884,0.981,-0.0026,0.0012,48.2717,47.3969,47.0849,46.6077,47.2487,46.1552,AA,AA,AA,AA,AA,5.6902,6.2928,4.8723,4.8762,4.9062,1.4747,1.6645,0.0705,0.3082,0.5452
122370.SH,14华远债,-0.0946,0.0368,0.056,0.0509,-0.1567,-0.2301,76.5504,75.6761,74.814,77.4641,77.8099,80.2384,AA,AA,AA,AA,AA,5.0662,5.6679,5.6898,6.0301,5.3615,1.4886,1.6795,1.8224,2.051,2.302
122371.SH,14亨通01,-0.0738,-0.0565,-0.1124,0.0206,-0.0535,0.0027,66.4726,69.108,59.3217,60.8106,60.4896,64.4072,AA+,AA+,AA+,AA+,AA+,5.535,6.1299,5.4097,5.4619,5.3618,1.622,1.8114,0.2176,0.4531,1.571
122373.SH,15舟港债,,0.0467,,0.2172,,0.2345,,37.058,,34.3576,,36.1286,AAA,AAA,AAA,AAA,AAA,3.7435,4.4495,4.5229,4.9127,4.3146,1.5804,1.7715,1.9284,2.1581,2.4106
122376.SH,15首置01,,0.0619,,0.0674,-0.043,-0.035,,78.0529,,77.421,79.0684,78.3325,AAA,AAA,AAA,AAA,AAA,4.1776,4.8252,5.0709,5.3999,4.7498,1.586,1.7772,1.928,2.1579,2.4105
122377.SH,14首开债,-0.0441,-0.121,-0.1331,-0.1836,-0.0079,-0.0226,78.1919,81.1328,82.4326,80.5892,81.4352,80.7887,AAA,AAA,AAA,AAA,AAA,4.526,4.8732,4.9161,5.1462,4.8035,1.6016,1.7916,1.9422,2.1707,2.4222
122378.SH,13楚天02,0.1868,0.3521,0.4246,0.4938,0.0635,0.0943,46.5768,46.2329,44.0504,43.3299,42.421,43.0855,AAA,AAA,AAA,AAA,AAA,4.1212,4.8297,4.8994,5.2906,4.693,1.6185,1.8085,1.9628,2.1916,2.4433
122380.SH,14瀚华01,,-0.3843,,-0.086,,0.027,,56.759,,57.3079,,59.2878,AA+,AA+,AA+,AA+,AA+,6.2686,6.8653,6.0328,5.9595,5.852,1.5715,1.7599,0.1845,0.4211,0.6589
122383.SH,15恒大01,,-0.0676,,-0.0807,,0.0688,,86.1154,,83.5247,,78.851,AAA,AAA,AAA,AAA,AAA,6.2431,6.839,5.5043,5.5371,5.4917,1.5959,1.7842,0.2074,0.443,0.6802
122387.SH,15城乡01,0.1105,0.0674,0.0596,0.0244,0.0345,0.0077,44.3397,43.0435,41.71,39.4444,36.7306,32.733,AA,AA,AA,AA,AA,4.3978,4.68,4.7517,4.8385,4.808,1.6685,0,0.2368,0.4729,0.7114
122390.SH,15龙湖01,,0.027,0.0008,0.0031,0.0011,0.0167,,64.4086,67.5083,66.7937,69.3347,68.6706,AAA,AAA,AAA,AAA,AAA,5.6994,6.2909,5.2169,5.5479,4.8955,1.6687,1.7743,2.0313,2.2606,2.5135
122391.SH,15云能投,-0.0444,-0.1,-0.0866,0.1082,-0.1045,-0.0695,64.7739,64.2753,66.018,64.0517,62.1366,60.7189,AAA,AAA,AAA,AAA,AAA,4.9051,5.7208,5.6298,6.0231,5.2833,1.6799,1.7849,2.0227,2.2496,2.5036
122392.SH,15恒大02,,-0.0676,,-0.0807,,0.0688,,86.1154,,83.5247,,78.851,AAA,AAA,AAA,AAA,AAA,5.7602,6.7137,6.7146,7.1484,6.5014,0.7773,0.9011,1.1347,1.3626,1.6053
122393.SH,15恒大03,,-0.0676,,-0.0807,,0.0688,,86.1154,,83.5247,,78.851,AAA,AAA,AAA,AAA,AAA,6.7581,7.1106,7.1293,6.7586,6.3298,1.6386,1.706,1.938,2.1848,2.436
122395.SH,15富力债,-0.0407,-0.0589,-0.0672,-0.016,-0.0711,-0.0297,79.7269,80.7124,82.5937,78.239,79.4194,80.4404,AAA,AAA,AAA,AAA,AAA,6.6366,4.938,5.0281,5.1337,5.0838,1.6499,0.0341,0.2699,0.505,0.7434
122396.SH,15时代债,-0.1225,-0.2283,,-0.0545,,0.0004,72.9914,64.3081,,65.3072,,66.7019,AA+,AA+,AA,AA,AA,7.4153,6.7123,6.5958,6.5416,6.3781,1.6261,0.0263,0.262,0.497,0.7348
122397.SH,15宜华债01,-0.0531,0.0737,0.2058,0.2395,0.0558,0.0394,56.4741,54.7516,53.5603,52.2411,50.3537,52.0954,AA+,AA+,AA+,AA+,AA+,5.3497,5.9428,5.9742,6.3159,5.6465,1.6795,1.7531,1.9878,2.2151,2.4668
122398.SH,15北巴债,0.045,0.0667,0.0542,0.2217,-0.0945,0.0378,44.0685,45.9072,44.149,47.971,58.2829,61.0274,AA+,AA+,AA+,AA+,AA+,4.6197,4.384,4.4582,4.5522,4.5009,1.7013,0.0371,0.2744,0.511,0.7507
122401.SH,15远洋03,,-0.007,,0.0869,,0.0093,,72.9298,,74.3792,,76.7961,AAA,AAA,AAA,AAA,AAA,5.2,5.1993,5.3075,5.5638,4.9469,5.6992,5.622,5.8483,6.0591,6.3591
122402.SH,15城建01,-0.0326,-0.1721,-0.3703,-0.417,-0.0266,-0.0226,73.3341,76.3212,78.9177,77.4225,77.1187,76.9371,AAA,AAA,AA+,AA+,AA+,4.3044,4.6766,4.7278,4.9735,4.6338,1.7289,1.8386,2.0748,2.3029,2.555
122405.SH,15宜华债02,-0.0531,0.0737,0.2058,0.2395,0.0558,0.0394,56.4741,54.7516,53.5603,52.2411,50.3537,52.0954,AA+,AA+,AA+,AA+,AA+,5.3516,5.9443,5.9766,6.3185,5.6489,1.6977,1.7712,2.0059,2.2331,2.4849
122406.SH,15新湖债,0.0431,0.0805,0.0392,0.0451,-0.0804,-0.1438,75.2563,75.7659,74.8879,73.5893,74.2393,75.2534,AA+,AA+,AA+,AA+,AA+,7.0907,5.4885,5.4637,5.5102,5.385,1.6668,0.0599,0.2967,0.5321,0.7715
122409.SH,15龙湖02,,0.027,0.0008,0.0031,0.0011,0.0167,,64.4086,67.5083,66.7937,69.3347,68.6706,AAA,AAA,AAA,AAA,AAA,5.2527,4.0654,4.2141,4.4547,4.4935,1.7206,0.0688,0.3053,0.5392,0.7768
122410.SH,15龙湖03,,0.027,0.0008,0.0031,0.0011,0.0167,,64.4086,67.5083,66.7937,69.3347,68.6706,AAA,AAA,AAA,AAA,AAA,5.0161,5.3717,5.1377,5.375,5.0257,1.7216,1.8331,2.0787,2.3064,2.558
122411.SH,14招金债,0.0306,0.0539,0.0649,0.0774,0.0149,0.0304,56.2003,50.8078,51.2726,50.4753,51.9892,53.0482,AAA,AAA,AAA,AAA,AAA,4.761,3.8446,4.0683,4.2989,4.3251,1.7399,0.0758,0.3113,0.5456,0.784
122413.SH,15精工债,-0.0556,-0.0232,-0.0623,-0.0884,-0.056,-0.0483,62.1316,62.9798,63.116,65.6418,64.2777,60.1303,AA,AA,AA,AA,AA,8.1403,5.2352,5.4294,6.295,5.2547,1.6809,0.075,0.3081,0.5261,0.7852
122416.SH,15好民居,,0.287,,-0.3263,,-0.4133,,71.9144,,73.6865,,74.7736,AA,AA,AA,AA,AA,7.2975,5.4984,5.4759,5.593,5.4657,1.6794,0.0779,0.3147,0.5485,0.7876
122417.SH,15东旭集,0.0376,0.0396,0.0181,0.0975,0.0011,0.1622,65.9424,66.6221,68.4623,68.0314,69.1188,63.5732,AA+,AA+,AA+,AA+,AA+,16.5732,7.1569,8.5797,6.6414,6.6484,1.5444,0.0628,0.2702,0.5376,0.7712
122421.SH,15天房债,-0.1068,0.0412,0.0616,0.1025,0.0075,0.0463,84.9114,85.0728,85.4262,85.5395,84.8469,83.983,AA+,AA+,AA+,AA+,AA+,23.2772,6.7837,5.8795,6.0089,5.9189,1.4692,0.0803,0.3299,0.5626,0.7999
122424.SH,15华业债,-0.0442,-0.2678,-0.3074,-0.2933,-0.0224,-0.0151,70.1189,67.337,66.7459,67.3914,66.411,60.857,AA,AA,AA,AA,AA,8.6491,5.8567,6.0547,6.2786,6.282,1.6677,0.0949,0.3265,0.5568,0.7913
122425.SH,15际华01,-0.168,-0.2626,-0.3018,-0.4155,-0.0396,-0.0084,45.6157,39.6558,38.6967,39.4308,39.9913,40.5825,AAA,AAA,AAA,AAA,AAA,4.2284,3.4514,3.6218,3.7374,3.4915,1.7743,1.0213,0.3407,0.5786,1.7444
122426.SH,15际华02,-0.168,-0.2626,-0.3018,-0.4155,-0.0396,-0.0084,45.6157,39.6558,38.6967,39.4308,39.9913,40.5825,AAA,AAA,AAA,AAA,AAA,4.098,4.4378,4.642,4.8888,4.4981,2.221,2.111,2.1282,2.3563,2.8265
122427.SH,15海正01,0.0112,0.0219,0.0791,0.1535,0.0355,0.0502,61.5819,61.9674,62.7013,63.6017,63.1753,64.5818,AA+,AA+,AA+,AA+,AA+,5.8823,3.993,4.1104,4.2722,4.2093,1.7525,0.1155,0.3529,0.5886,0.8293
